date,temprature,humidity,wind 
20220119T1600,3.3502455,78.41561,10.30883
20220119T1700,3.3502455,76.65568,10.685391
20220119T1800,3.3102455,75.47578,11.384198
20220119T1900,3.0502453,76.54421,10.1887
20220119T2000,2.8902454,78.10614,9.885262
20220119T2100,2.8502455,78.09913,9.449572
20220119T2200,2.6902456,78.47393,8.217153
20220119T2300,2.6102452,79.44677,8.287822
20220120T0000,2.7502456,80.349144,7.928177
20220120T0100,2.5702453,82.82996,8.14587
20220120T0200,2.4202454,86.1404,6.8777895
20220120T0300,2.1802454,90.54862,8.587338
20220120T0400,2.0702453,92.935196,7.491114
20220120T0500,2.0602455,92.86711,7.491114
20220120T0600,1.9202454,93.1941,7.9932966
20220120T0700,1.9602454,92.05446,7.8954163
20220120T0800,2.0502453,91.46228,5.815978
20220120T0900,2.6002455,90.12911,7.42159
20220120T1000,3.1202455,90.17772,7.771331
20220120T1100,4.2402453,81.17164,8.707238
20220120T1200,4.860245,74.62156,10.464797
20220120T1300,5.2002454,72.761505,10.00256
20220120T1400,5.1202455,73.16951,10.009036
20220120T1500,4.5702453,76.82157,6.696387
20220120T1600,3.6302452,80.9009,4.829907
20220120T1700,3.0302453,83.07795,6.989936
20220120T1800,2.8502455,85.32058,6.4096174
20220120T1900,1.9302454,84.207825,6.6087217
20220120T2000,1.6202455,84.41313,6.638072
20220120T2100,1.0102454,82.11118,6.6087217
20220120T2200,-0.1897546,83.78519,7.172949
20220120T2300,-0.1997546,84.79093,7.342588
20220121T0000,0.7402454,83.48344,5.00128
20220121T0100,1.0102454,83.89395,2.2768397
20220121T0200,0.030245423,88.3611,1.835647
20220121T0300,0.23024541,88.448784,1.08
20220121T0400,0.34024543,89.051315,3.9763298
20220121T0500,-0.27975458,90.92018,4.510787
20220121T0600,-0.5897546,90.823685,6.28713
20220121T0700,-0.88975465,90.457664,6.5693827
20220121T0800,-0.5497546,89.553825,5.506941
20220121T0900,0.7202454,87.52899,6.638072
20220121T1000,1.8502454,78.85068,10.495713
20220121T1100,2.5702453,72.8099,10.137692
20220121T1200,3.1402454,66.711136,9.227524
20220121T1300,3.5102453,61.804752,7.968939
20220121T1400,3.6202455,60.138832,7.42159
20220121T1500,3.4902453,61.0612,5.6920996
20220121T1600,2.4502454,66.7958,4.379589
20220121T1700,1.5702454,72.00516,1.1384199
20220121T1800,1.6002454,73.04305,1.8
20220121T1900,1.0502454,76.96984,0.8049845
20220121T2000,0.9102454,78.21879,0.8049845
20220121T2100,0.6802454,79.82986,1.1384199
20220121T2200,0.52024543,81.003075,1.4399999
20220121T2300,0.7202454,81.15601,0.8049845
20220122T0000,0.52024543,81.30562,1.484318
20220122T0100,-0.1897546,83.47264,3.096837
20220122T0200,-0.3097546,83.956055,3.096837
20220122T0300,-0.39975458,85.01726,3.219938
20220122T0400,-0.34975457,85.024055,3.9763298
20220122T0500,-0.40975457,84.88889,2.9024127
20220122T0600,-0.15975457,83.852135,3.6179552
